Fecha;Interno;Km
08-07-2024;3007;160,13
08-07-2024;3008;113,59
08-07-2024;3009;209,71
08-07-2024;3011;304,9
08-07-2024;3012;239,62
08-07-2024;3014;228,74
08-07-2024;3015;236,18
08-07-2024;3097;210,3
08-07-2024;3098;284,1
08-07-2024;3099;297,61
08-07-2024;3100;191,75
08-07-2024;3101;271,01
08-07-2024;3102;189
08-07-2024;3103;277,19
08-07-2024;3104;288,06
08-07-2024;3105;245,94
08-07-2024;3106;130,8
08-07-2024;3107;122,78
08-07-2024;3108;212,31
08-07-2024;3109;236
08-07-2024;3110;109,86
08-07-2024;3111;321,92
08-07-2024;3112;225,26
08-07-2024;3113;240,39
08-07-2024;3114;237,27
08-07-2024;3115;166,07
08-07-2024;7015;67,37
08-07-2024;7016;252,46
08-07-2024;7017;270,63
08-07-2024;7018;231,57
08-07-2024;7019;197,31
08-07-2024;7020;162,47
08-07-2024;7021;239,34
08-07-2024;7022;211,27
08-07-2024;7023;212,62
08-07-2024;7024;264,92
08-07-2024;7040;198,98
08-07-2024;7071;226,48
08-07-2024;7079;252,73
08-07-2024;7080;234,77
08-07-2024;7100;232,96
08-07-2024;7101;264,47
08-07-2024;7102;199,28
08-07-2024;7103;271,71
08-07-2024;7104;258,81
08-07-2024;7105;236,9
08-07-2024;7106;234,34
08-07-2024;7107;210,29
08-07-2024;7110;213,87
08-07-2024;7111;222,71
08-07-2024;7112;246,14
08-07-2024;7115;168,23
08-07-2024;7116;230,17
08-07-2024;7117;228,47
08-07-2024;7119;153,51
08-07-2024;7120;198,51
08-07-2024;7121;217,28
08-07-2024;7122;237,06
08-07-2024;7123;242,58
08-07-2024;7124;190,06
08-07-2024;7125;234,57
08-07-2024;7130;223,64
08-07-2024;7131;113,87
08-07-2024;7132;119,53
08-07-2024;7133;228,93
08-07-2024;7134;155,49
08-07-2024;7135;141,86
08-07-2024;7137;102,6
08-07-2024;7138;301,97
09-07-2024;3001;221,43
09-07-2024;3002;215,87
09-07-2024;3004;222,04
09-07-2024;3005;255,14
09-07-2024;3006;292,97
09-07-2024;3007;218,5
09-07-2024;3008;265,6
09-07-2024;3009;284,46
09-07-2024;3011;246,24
09-07-2024;3012;238,98
09-07-2024;3013;89,4
09-07-2024;3014;205,59
09-07-2024;3015;270,8
09-07-2024;3097;270,34
09-07-2024;3098;186,65
09-07-2024;3099;231,58
09-07-2024;3100;213,33
09-07-2024;3101;258,58
09-07-2024;3102;204,91
09-07-2024;3103;297,36
09-07-2024;3104;288,49
09-07-2024;3105;282,61
09-07-2024;3106;289,39
09-07-2024;3107;233,7
09-07-2024;3108;253,46
09-07-2024;3109;154,32
09-07-2024;3110;105,81
09-07-2024;3111;173,12
09-07-2024;3112;272,7
09-07-2024;3113;272,06
09-07-2024;3114;242,53
09-07-2024;3115;261,97
09-07-2024;3116;90,64
09-07-2024;7015;196,45
09-07-2024;7016;221,03
09-07-2024;7017;210,73
09-07-2024;7018;205,11
09-07-2024;7019;172,47
09-07-2024;7020;229,09
09-07-2024;7021;196,27
09-07-2024;7022;183,8
09-07-2024;7023;183,43
09-07-2024;7024;273,07
09-07-2024;7040;232,91
09-07-2024;7071;228,21
09-07-2024;7079;228,96
09-07-2024;7080;211,43
09-07-2024;7100;288,13
09-07-2024;7101;225,88
09-07-2024;7102;228,2
09-07-2024;7103;159,77
09-07-2024;7104;191,13
09-07-2024;7105;210,79
09-07-2024;7106;219,48
09-07-2024;7107;222,76
09-07-2024;7108;111,78
09-07-2024;7110;184,84
09-07-2024;7111;216,32
09-07-2024;7112;188,66
09-07-2024;7115;198,28
09-07-2024;7116;254,99
09-07-2024;7117;253,02
09-07-2024;7119;270,01
09-07-2024;7120;210,12
09-07-2024;7121;213,08
09-07-2024;7122;192,42
09-07-2024;7123;191,79
09-07-2024;7124;188,36
09-07-2024;7125;184,55
09-07-2024;7130;199,2
09-07-2024;7131;195,73
09-07-2024;7132;235,75
09-07-2024;7133;251,22
09-07-2024;7134;142,19
09-07-2024;7135;143,18
09-07-2024;7137;243,32
09-07-2024;7138;246,43
10-07-2024;3001;265,56
10-07-2024;3002;221
10-07-2024;3004;221,24
10-07-2024;3005;265,53
10-07-2024;3006;102,63
10-07-2024;3007;133,07
10-07-2024;3008;246,55
10-07-2024;3009;217,36
10-07-2024;3011;221,66
10-07-2024;3012;279,84
10-07-2024;3013;302,33
10-07-2024;3014;285,96
10-07-2024;3015;280,96
10-07-2024;3097;176,02
10-07-2024;3098;289,85
10-07-2024;3099;245,14
10-07-2024;3100;259,95
10-07-2024;3101;235,53
10-07-2024;3102;310,28
10-07-2024;3103;202,85
10-07-2024;3104;262,04
10-07-2024;3105;245,83
10-07-2024;3106;157,33
10-07-2024;3107;287
10-07-2024;3108;291,37
10-07-2024;3109;260,18
10-07-2024;3110;240,91
10-07-2024;3111;253,21
10-07-2024;3112;228,78
10-07-2024;3113;234,8
10-07-2024;3114;214,63
10-07-2024;3115;176,77
10-07-2024;3116;286,08
10-07-2024;7015;127,79
10-07-2024;7016;195,62
10-07-2024;7017;124,61
10-07-2024;7018;210,76
10-07-2024;7019;242,6
