Fecha;Interno;Patente;SOH [%];Terminal
07-01-2025;7074;SPZY44;92;PIE ANDINO
07-01-2025;7109;SRVJ17;93;PIE ANDINO
07-01-2025;7105;SPZY87;93;PIE ANDINO
07-01-2025;7095;SPZY69;91;PIE ANDINO
07-01-2025;7036;SPZX66;92;PIE ANDINO
07-01-2025;7053;SPZX83;91;PIE ANDINO
07-01-2025;7080;SPZY53;91;PIE ANDINO
07-01-2025;7047;SPZX77;91;PIE ANDINO
07-01-2025;7081;SPZY54;92;PIE ANDINO
07-01-2025;7065;SPZY24;92;PIE ANDINO
07-01-2025;7039;SPZX69;92;PIE ANDINO
07-01-2025;7050;SPZX80;91;PIE ANDINO
07-01-2025;7085;SPZY58;94;PIE ANDINO
07-01-2025;7087;SPZY60;91;PIE ANDINO
07-01-2025;7032;SPZX62;92;PIE ANDINO
07-01-2025;7114;SRVK73;91;PIE ANDINO
07-01-2025;7099;SPZY75;91;PIE ANDINO
07-01-2025;7070;SPZY37;91;PIE ANDINO
07-01-2025;7037;SPZX67;92;PIE ANDINO
07-01-2025;7034;SPZX64;92;PIE ANDINO
07-01-2025;7112;SRVJ72;91;PIE ANDINO
07-01-2025;7026;SPZX47;91;PIE ANDINO
07-01-2025;7066;SPZY25;91;PIE ANDINO
07-01-2025;7096;SPZY70;92;PIE ANDINO
07-01-2025;7060;SPZY13;92;PIE ANDINO
07-01-2025;7076;SPZY48;91;PIE ANDINO
07-01-2025;7083;SPZY56;92;PIE ANDINO
07-01-2025;7103;SPZY85;91;PIE ANDINO
07-01-2025;7077;SPZY49;95;PIE ANDINO
07-01-2025;7073;SPZY43;91;PIE ANDINO
07-01-2025;7093;SPZY67;91;PIE ANDINO
07-01-2025;7044;SPZX74;91;PIE ANDINO
07-01-2025;7055;SPZX85;92;PIE ANDINO
07-01-2025;7056;SPZX93;91;PIE ANDINO
07-01-2025;7098;SPZY72;92;PIE ANDINO
07-01-2025;7064;SPZY23;92;PIE ANDINO
07-01-2025;7100;SPZY78;92;PIE ANDINO
07-01-2025;7043;SPZX73;92;PIE ANDINO
07-01-2025;7116;SRVL13;93;PIE ANDINO
